player_id,inclusion_rate,mean_lineup_projection_when_included,leverage_to_baseline
dst_bal_ravens,0.058823529411764705,201.2743006039002,-0.004556752278376139
dst_car_panthers,0.11764705882352941,183.20278755688028,0.054266777133388566
dst_chi_bears,0.0,0.0,-0.06338028169014084
dst_cin_bengals,0.0,0.0,-0.06338028169014084
dst_cle_browns,0.0,0.0,-0.06338028169014084
dst_ind_colts,0.29411764705882354,191.3953105727407,0.2307373653686827
dst_mia_dolphins,0.11764705882352941,187.7707786062775,0.054266777133388566
dst_min_vikings,0.0,0.0,-0.06338028169014084
dst_ne_patriots,0.0,0.0,-0.06338028169014084
dst_nyg_giants,0.17647058823529413,195.09801809288993,0.11309030654515329
dst_pit_steelers,0.058823529411764705,193.5608181448695,-0.004556752278376139
dst_was_was_football_team,0.17647058823529413,187.1455777934251,0.11309030654515329
qb_atl_matt_ryan,0.0,0.0,-0.06338028169014084
qb_bal_lamar_jackson,0.058823529411764705,198.61953818870825,-0.004556752278376139
qb_car_teddy_bridgewater,0.0,0.0,-0.06338028169014084
qb_det_matthew_stafford,0.0,0.0,-0.06338028169014084
qb_gb_aaron_rodgers,0.058823529411764705,182.7370544478036,-0.004556752278376139
qb_hou_deshaun_watson,0.0,0.0,-0.06338028169014084
qb_jax_gardner_minshew_ii,0.35294117647058826,193.26764726004876,0.28956089478044744
qb_mia_ryan_fitzpatrick,0.058823529411764705,193.5608181448695,-0.004556752278376139
qb_min_kirk_cousins,0.11764705882352941,190.1974919528377,0.054266777133388566
qb_ne_cam_newton,0.11764705882352941,186.15623880096598,0.054266777133388566
qb_nyj_sam_darnold,0.0,0.0,-0.06338028169014084
qb_pit_ben_roethlisberger,0.11764705882352941,188.7511563100723,0.054266777133388566
qb_tb_tom_brady,0.11764705882352941,187.878261564154,0.054266777133388566
qb_ten_ryan_tannehill,0.0,0.0,-0.06338028169014084
rb_atl_brian_hill,0.0,0.0,-0.06338028169014084
rb_atl_todd_gurley_ii,0.17647058823529413,192.98789793212177,0.11309030654515329
rb_bal_gus_edwards,0.0,0.0,-0.06338028169014084
rb_bal_j_k_dobbins,0.0,0.0,-0.06338028169014084
rb_car_mike_davis,0.23529411764705882,195.5912578993596,0.17191383595691798
rb_chi_david_montgomery,0.17647058823529413,191.31842025295182,0.11309030654515329
rb_cin_joe_mixon,0.0,0.0,-0.06338028169014084
rb_cle_d_ernest_johnson,0.0,0.0,-0.06338028169014084
rb_cle_kareem_hunt,0.0,0.0,-0.06338028169014084
rb_den_melvin_gordon_iii,0.11764705882352941,185.66019625443366,0.054266777133388566
rb_den_phillip_lindsay,0.0,0.0,-0.06338028169014084
rb_det_d_andre_swift,0.0,0.0,-0.06338028169014084
rb_gb_aaron_jones,0.058823529411764705,185.02908831204488,-0.004556752278376139
rb_gb_jamaal_williams,0.0,0.0,-0.06338028169014084
rb_hou_david_johnson,0.11764705882352941,188.61466940541322,0.054266777133388566
rb_hou_duke_johnson,0.0,0.0,-0.06338028169014084
rb_ind_jonathan_taylor,0.0,0.0,-0.06338028169014084
rb_ind_nyheim_hines,0.0,0.0,-0.06338028169014084
rb_jax_james_robinson,0.17647058823529413,193.45974562785435,0.11309030654515329
rb_mia_matt_breida,0.058823529411764705,199.02264424705123,-0.004556752278376139
rb_mia_myles_gaskin,0.0,0.0,-0.06338028169014084
rb_min_alexander_mattison,0.17647058823529413,196.78612129448234,0.11309030654515329
rb_min_mike_boone,0.0,0.0,-0.06338028169014084
rb_ne_damien_harris,0.058823529411764705,185.02908831204488,-0.004556752278376139
rb_nyg_devonta_freeman,0.058823529411764705,184.45943051496886,-0.004556752278376139
rb_nyj_frank_gore,0.0,0.0,-0.06338028169014084
rb_nyj_la_mical_perine,0.0,0.0,-0.06338028169014084
rb_phi_miles_sanders,0.23529411764705882,184.12434016696275,0.17191383595691798
rb_pit_james_conner,0.0,0.0,-0.06338028169014084
